benchmark;system;size;40;160;400;1600
uc1;beam-flink;10000;1,0;1,0;1,0;2,0
uc1;beam-flink;20000;1,0;2,0;2,0;2,0
uc1;beam-flink;4000;1,0;1,0;1,0;1,0
uc1;beam-flink;8000;1,0;1,0;1,5;1,0
uc1;beam-flink;16000;2,0;2,0;2,0;2,0
uc1;beam-flink;32000;2,0;2,0;3,5;2,0
uc1;beam-flink;64000;5,0;5,0;3,5;5,0
uc1;beam-flink;128000;5,0;5,0;5,0;1,0
uc1;beam-flink;256000;5,0;5,0;3,5;1,0
uc1;beam-flink;512000;5,0;5,0;1,5;1,0
uc1;beam-flink;1024000;5,0;2,0;1,0;1,0
uc1;beam-flink;2048000;1,0;1,0;3,5;1,0
uc1;beam-samza;10000;1,0;1,0;1,0;1,0
uc1;beam-samza;20000;5,0;1,0;1,0;1,0
uc1;beam-samza;4000;1,0;1,0;1,0;1,0
uc1;beam-samza;8000;1,0;1,0;1,0;1,0
uc1;beam-samza;16000;5,0;1,0;1,0;1,0
uc1;beam-samza;32000;1,0;1,0;1,0;1,0
uc1;beam-samza;64000;5,0;1,0;1,0;1,0
uc1;beam-samza;128000;5,0;1,0;1,0;1,0
uc1;beam-samza;256000;1,0;1,0;1,0;1,0
uc1;beam-samza;512000;1,0;1,0;1,0;1,0
uc1;beam-samza;1024000;1,0;1,0;1,0;1,0
uc1;beam-samza;2048000;1,0;1,0;1,0;1,0
uc1;flink;10000;1,0;1,0;1,0;1,0
uc1;flink;20000;1,0;1,0;1,0;1,0
uc1;flink;4000;1,0;1,0;1,0;1,0
uc1;flink;8000;1,0;1,0;1,0;1,0
uc1;flink;16000;1,0;1,0;1,0;1,0
uc1;flink;32000;1,0;1,0;1,0;1,0
uc1;flink;64000;2,0;1,0;2,0;2,0
uc1;flink;128000;5,0;2,0;2,0;1,0
uc1;flink;256000;5,0;2,0;5,0;1,0
uc1;flink;512000;5,0;2,0;2,0;1,0
uc1;flink;1024000;2,0;5,0;1,0;1,0
uc1;flink;2048000;1,0;1,0;1,0;1,0
uc1;kstreams;10000;3,0;1,0;1,0;1,0
uc1;kstreams;20000;5,0;1,0;2,0;1,0
uc1;kstreams;4000;1,0;1,0;1,0;1,0
uc1;kstreams;8000;1,0;1,0;1,0;1,0
uc1;kstreams;16000;2,0;1,0;1,0;1,0
uc1;kstreams;32000;2,0;1,0;2,0;1,0
uc1;kstreams;64000;1,0;2,0;5,0;1,0
uc1;kstreams;128000;5,0;3,0;2,0;1,0
uc1;kstreams;256000;5,0;4,0;2,0;1,0
uc1;kstreams;512000;1,0;1,0;2,0;1,0
uc1;kstreams;1024000;1,0;1,0;1,0;1,0
uc1;kstreams;2048000;1,0;1,0;1,0;1,0
uc2;beam-flink;10000;1,0;1,0;;
uc2;beam-flink;20000;1,0;1,0;;
uc2;beam-flink;4000;1,0;1,0;2,0;5,0
uc2;beam-flink;8000;1,0;1,0;;
uc2;beam-flink;16000;1,0;1,0;;
uc2;beam-flink;32000;1,0;1,0;;
uc2;beam-flink;64000;1,0;1,0;;
uc2;beam-flink;128000;1,0;1,0;;
uc2;beam-flink;256000;1,0;1,0;;
uc2;beam-flink;512000;1,0;1,0;;
uc2;beam-flink;1024000;1,0;1,0;;
uc2;beam-flink;2048000;1,0;1,0;;
uc2;flink;10000;1,0;;;
uc2;flink;20000;1,0;;;
uc2;flink;4000;1,0;;;
uc2;flink;8000;1,0;;;
uc2;flink;16000;1,0;;;
uc2;flink;32000;1,0;;;
uc2;flink;64000;1,0;;;
uc2;flink;128000;1,0;;;
uc2;flink;256000;1,0;;;
uc2;flink;512000;1,0;;;
uc2;flink;1024000;1,0;;;
uc2;flink;2048000;1,0;;;
uc3;beam-samza;10000;5,0;1,0;;
uc3;beam-samza;20000;1,0;1,0;;
uc3;beam-samza;4000;1,0;1,0;;5,0
uc3;beam-samza;8000;2,0;1,0;;
uc3;beam-samza;16000;1,0;1,0;;
uc3;beam-samza;32000;1,0;1,0;;
uc3;beam-samza;64000;1,0;1,0;;
uc3;beam-samza;128000;1,0;1,0;;
uc3;beam-samza;256000;1,0;1,0;;
uc3;beam-samza;512000;1,0;1,0;;
uc3;beam-samza;1024000;1,0;1,0;;
uc3;beam-samza;2048000;1,0;1,0;;
uc3;flink;10000;1,0;1,0;;
uc3;flink;20000;1,0;1,0;;
uc3;flink;4000;1,0;1,0;;5,0
uc3;flink;8000;1,0;1,0;;
uc3;flink;16000;1,0;1,0;;
uc3;flink;32000;1,0;1,0;;
uc3;flink;64000;1,0;1,0;;
uc3;flink;128000;1,0;1,0;;
uc3;flink;256000;1,0;1,0;;
uc3;flink;512000;1,0;1,0;;
uc3;flink;1024000;1,0;1,0;;
uc3;flink;2048000;1,0;1,0;;
uc3;kstreams;10000;1,0;1,0;;
uc3;kstreams;20000;1,0;1,0;;
uc3;kstreams;4000;1,0;1,0;;
uc3;kstreams;8000;1,0;1,0;;
uc3;kstreams;16000;1,0;1,0;;
uc3;kstreams;32000;1,0;1,0;;
uc3;kstreams;64000;5,0;1,0;;
uc3;kstreams;128000;1,0;2,0;;
uc3;kstreams;256000;5,0;1,0;;
uc3;kstreams;512000;1,0;1,0;;
uc3;kstreams;1024000;1,0;1,0;;
uc3;kstreams;2048000;1,0;1,0;;
uc4;beam-flink;10000;;;;
uc4;beam-flink;20000;;;;
uc4;beam-flink;4000;;;;
uc4;beam-flink;8000;;;;
uc4;beam-flink;16000;;;;
uc4;beam-flink;32000;;;;
